Date,Open,High,Low,Close,Volume,closeTime,QuoteVolume,Trades,TakerBuyBase,TakerBuyQuote,openTimeStamp,closeTimeStamp
2025-10-28 19:23:00+00:00,113970.3,114044.8,113860.0,113897.26,22.3115,2025-10-28 19:23:59.999000+00:00,2542252.1602425,6579,10.88023,1239827.9790993,1761679380000,1761679439999
2025-10-28 19:24:00+00:00,113897.26,113924.91,113813.03,113924.91,25.80999,2025-10-28 19:24:59.999000+00:00,2938846.7924825,7058,15.43577,1757699.2432394,1761679440000,1761679499999
2025-10-28 19:25:00+00:00,113924.91,113950.81,113842.02,113943.63,17.8694,2025-10-28 19:25:59.999000+00:00,2035186.3526867,4541,13.85346,1577794.0355396,1761679500000,1761679559999
2025-10-28 19:26:00+00:00,113943.63,114029.18,113808.03,113868.76,47.24183,2025-10-28 19:26:59.999000+00:00,5381596.2451901,7192,19.34162,2203504.6190264,1761679560000,1761679619999
2025-10-28 19:27:00+00:00,113868.77,113898.26,113854.0,113855.72,12.4518,2025-10-28 19:27:59.999000+00:00,1417814.793474,2712,9.41485,1071989.1629872,1761679620000,1761679679999
2025-10-28 19:28:00+00:00,113855.72,113855.72,113733.11,113824.51,28.98118,2025-10-28 19:28:59.999000+00:00,3297459.7967187,6416,8.52215,969665.9189005,1761679680000,1761679739999
2025-10-28 19:29:00+00:00,113824.51,113832.01,113717.0,113717.01,14.6143,2025-10-28 19:29:59.999000+00:00,1662924.9853092,3963,2.46235,280193.003252,1761679740000,1761679799999
2025-10-28 19:30:00+00:00,113717.0,113748.0,113589.46,113708.75,58.39049,2025-10-28 19:30:59.999000+00:00,6636929.8828404,10386,20.37853,2316323.3548991,1761679800000,1761679859999
2025-10-28 19:31:00+00:00,113708.75,113850.0,113665.31,113850.0,15.85213,2025-10-28 19:31:59.999000+00:00,1803328.2710893,6568,11.3547,1291748.4012299,1761679860000,1761679919999
2025-10-28 19:32:00+00:00,113850.0,113912.0,113773.1,113898.81,15.76153,2025-10-28 19:32:59.999000+00:00,1794544.8773601,5288,11.16082,1270703.8528189,1761679920000,1761679979999
2025-10-28 19:33:00+00:00,113898.8,113932.1,113855.67,113897.57,24.0002,2025-10-28 19:33:59.999000+00:00,2733309.1531352,5377,16.37113,1864327.5926932,1761679980000,1761680039999
2025-10-28 19:34:00+00:00,113897.57,113955.38,113892.01,113945.66,9.33065,2025-10-28 19:34:59.999000+00:00,1063021.2912284,3124,6.31106,718998.1001659,1761680040000,1761680099999
2025-10-28 19:35:00+00:00,113945.65,114131.7,113936.25,114098.42,43.3642,2025-10-28 19:35:59.999000+00:00,4945675.7395778,8867,31.66488,3611130.2928642,1761680100000,1761680159999
2025-10-28 19:36:00+00:00,114098.42,114141.51,113980.72,113992.26,22.82129,2025-10-28 19:36:59.999000+00:00,2603579.9319909,5219,12.91118,1473048.0901869,1761680160000,1761680219999
2025-10-28 19:37:00+00:00,113992.26,114140.78,113992.25,114078.41,16.96283,2025-10-28 19:37:59.999000+00:00,1935076.2881247,4193,13.56658,1547582.4822536,1761680220000,1761680279999
2025-10-28 19:38:00+00:00,114078.4,114078.4,113971.39,113971.4,13.97736,2025-10-28 19:38:59.999000+00:00,1593820.5391136,3018,4.85522,553668.7147343,1761680280000,1761680339999
2025-10-28 19:39:00+00:00,113971.4,114058.82,113971.39,114026.66,8.431,2025-10-28 19:39:59.999000+00:00,961313.5925937,3650,6.02751,687234.8271791,1761680340000,1761680399999
2025-10-28 19:40:00+00:00,114026.66,114037.21,113963.46,113963.46,19.95105,2025-10-28 19:40:59.999000+00:00,2274564.1016559,3423,9.89519,1128145.9061849,1761680400000,1761680459999
2025-10-28 19:41:00+00:00,113963.47,113963.47,113904.55,113922.88,6.47031,2025-10-28 19:41:59.999000+00:00,737115.647777,4982,2.66416,303516.1477606,1761680460000,1761680519999
2025-10-28 19:42:00+00:00,113922.88,113936.18,113863.25,113914.76,16.84084,2025-10-28 19:42:59.999000+00:00,1918219.8157495,3883,5.51461,628120.4510391,1761680520000,1761680579999
2025-10-28 19:43:00+00:00,113914.75,113979.21,113878.69,113979.21,6.88037,2025-10-28 19:43:59.999000+00:00,783923.7406438,3458,3.60364,410562.421252,1761680580000,1761680639999
2025-10-28 19:44:00+00:00,113979.21,114006.54,113933.99,114006.54,5.45875,2025-10-28 19:44:59.999000+00:00,622130.8933201,3671,3.30033,376144.9122714,1761680640000,1761680699999
2025-10-28 19:45:00+00:00,114006.54,114032.85,113968.4,113968.41,6.15997,2025-10-28 19:45:59.999000+00:00,702227.4425644,3684,3.87983,442292.5446234,1761680700000,1761680759999
2025-10-28 19:46:00+00:00,113968.4,113968.4,113891.67,113928.43,9.07833,2025-10-28 19:46:59.999000+00:00,1034201.5986232,4660,3.11944,355342.7741124,1761680760000,1761680819999
2025-10-28 19:47:00+00:00,113928.42,113939.99,113891.66,113897.86,21.98869,2025-10-28 19:47:59.999000+00:00,2504652.2852485,2336,1.99213,226902.0648899,1761680820000,1761680879999
2025-10-28 19:48:00+00:00,113897.87,113947.99,113879.84,113901.33,5.86048,2025-10-28 19:48:59.999000+00:00,667622.669861,4355,2.2439,255620.85728,1761680880000,1761680939999
2025-10-28 19:49:00+00:00,113901.33,113903.5,113661.13,113661.13,28.16981,2025-10-28 19:49:59.999000+00:00,3205344.5443536,6492,3.85095,438279.2197274,1761680940000,1761680999999
2025-10-28 19:50:00+00:00,113661.01,113666.67,113566.44,113581.11,50.46116,2025-10-28 19:50:59.999000+00:00,5732890.1671042,7095,15.44079,1754249.6403898,1761681000000,1761681059999
2025-10-28 19:51:00+00:00,113581.11,113688.33,113579.95,113688.32,21.40597,2025-10-28 19:51:59.999000+00:00,2431989.3971502,6295,7.92279,900064.6324905,1761681060000,1761681119999
2025-10-28 19:52:00+00:00,113688.33,113811.8,113688.32,113793.74,24.11918,2025-10-28 19:52:59.999000+00:00,2744400.6756149,6239,11.77543,1339844.1727985,1761681120000,1761681179999
2025-10-28 19:53:00+00:00,113793.74,113835.74,113768.84,113827.98,7.31888,2025-10-28 19:53:59.999000+00:00,832928.944489,3502,4.21112,479238.7413229,1761681180000,1761681239999
2025-10-28 19:54:00+00:00,113827.97,113827.97,113780.0,113787.08,3.21152,2025-10-28 19:54:59.999000+00:00,365473.6086503,1676,1.13091,128708.1988463,1761681240000,1761681299999
2025-10-28 19:55:00+00:00,113787.08,113811.56,113720.04,113781.46,5.85663,2025-10-28 19:55:59.999000+00:00,666270.7197166,5068,3.09276,351811.1725639,1761681300000,1761681359999
2025-10-28 19:56:00+00:00,113781.45,113781.45,113650.0,113650.01,9.81268,2025-10-28 19:56:59.999000+00:00,1115613.1460821,4357,3.45583,392932.3610432,1761681360000,1761681419999
2025-10-28 19:57:00+00:00,113650.0,113653.65,113590.0,113653.65,12.0714,2025-10-28 19:57:59.999000+00:00,1371580.0105525,2751,3.71567,422158.7075624,1761681420000,1761681479999
2025-10-28 19:58:00+00:00,113653.64,113664.43,113600.01,113647.98,11.48683,2025-10-28 19:58:59.999000+00:00,1305393.0054016,3391,2.99733,340542.6686747,1761681480000,1761681539999
2025-10-28 19:59:00+00:00,113647.99,113765.86,113639.59,113689.99,13.85475,2025-10-28 19:59:59.999000+00:00,1575201.4038822,4784,9.63451,1095375.5780129,1761681540000,1761681599999
2025-10-28 20:00:00+00:00,113689.0,113703.32,113620.0,113620.0,11.91299,2025-10-28 20:00:59.999000+00:00,1353975.3141778,4924,4.30609,489365.5470023,1761681600000,1761681659999
2025-10-28 20:01:00+00:00,113620.0,113639.66,113551.66,113606.37,16.80551,2025-10-28 20:01:59.999000+00:00,1908892.6631348,5104,2.76755,314345.191137,1761681660000,1761681719999
2025-10-28 20:02:00+00:00,113606.36,113617.74,113558.0,113564.38,12.39381,2025-10-28 20:02:59.999000+00:00,1407692.7400104,2148,3.03515,344713.4469987,1761681720000,1761681779999
2025-10-28 20:03:00+00:00,113564.38,113571.46,113540.0,113570.32,7.52602,2025-10-28 20:03:59.999000+00:00,854608.9197217,1980,1.34808,153078.0560875,1761681780000,1761681839999
2025-10-28 20:04:00+00:00,113570.33,113570.33,113087.88,113249.86,166.576,2025-10-28 20:04:59.999000+00:00,18875193.5280098,15139,48.01205,5435688.9430234,1761681840000,1761681899999
2025-10-28 20:05:00+00:00,113249.85,113404.53,113088.47,113358.16,80.02316,2025-10-28 20:05:59.999000+00:00,9062404.0244846,11892,49.15269,5567072.302948,1761681900000,1761681959999
2025-10-28 20:06:00+00:00,113358.15,113358.15,113023.04,113059.8,69.34443,2025-10-28 20:06:59.999000+00:00,7842561.2609773,11159,40.81493,4615237.0920706,1761681960000,1761682019999
2025-10-28 20:07:00+00:00,113059.81,113148.97,113031.76,113137.42,37.15249,2025-10-28 20:07:59.999000+00:00,4202122.3186168,6906,12.40817,1403305.6560659,1761682020000,1761682079999
2025-10-28 20:08:00+00:00,113137.42,113178.12,113008.82,113008.82,52.71976,2025-10-28 20:08:59.999000+00:00,5961688.3161795,8365,23.11318,2613735.1527198,1761682080000,1761682139999
